,state,geoid,year,month,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,date,date_str
220,Puerto Rico,USA-72,2020,06,122.97,118.96,3.51,0.57,0.73,0.02,2020-06-01,2020-06
221,Rhode Island,USA-44,2020,06,62.83,74.59,7.04,7.73,8.77,0.83,2020-06-01,2020-06
222,South Carolina,USA-45,2020,06,817.93,700.79,13.61,8.17,7.95,0.15,2020-06-01,2020-06
223,South Dakota,USA-46,2020,06,59.03,60.28,6.81,0.97,1.12,0.13,2020-06-01,2020-06
224,Tennessee,USA-47,2020,06,666.1,595.03,8.71,7.9,7.51,0.11,2020-06-01,2020-06
225,Texas,USA-48,2020,06,3390.97,2920.04,10.07,26.63,25.64,0.09,2020-06-01,2020-06
226,Utah,USA-49,2020,06,417.83,387.05,12.07,1.97,2.01,0.06,2020-06-01,2020-06
227,Vermont,USA-50,2020,06,7.57,7.61,1.22,0.03,0.09,0.01,2020-06-01,2020-06
228,Virgin Islands,USA-78,2020,06,0.67,0.41,0.39,0.0,0.0,0.0,2020-06-01,2020-06
229,Virginia,USA-51,2020,06,606.0,659.61,7.73,12.93,13.47,0.16,2020-06-01,2020-06
230,Washington,USA-53,2020,06,390.9,363.37,4.77,6.9,7.14,0.09,2020-06-01,2020-06
231,West Virginia,USA-54,2020,06,29.8,28.55,1.59,0.6,0.57,0.03,2020-06-01,2020-06
232,Wisconsin,USA-55,2020,06,434.63,361.36,6.21,6.63,7.37,0.13,2020-06-01,2020-06
233,Wyoming,USA-56,2020,06,19.47,17.15,2.96,0.13,0.26,0.05,2020-06-01,2020-06
234,Alabama,USA-01,2020,07,1602.52,1534.45,31.3,20.32,19.19,0.39,2020-07-01,2020-07
235,Alaska,USA-02,2020,07,82.03,73.68,10.07,0.29,0.25,0.03,2020-07-01,2020-07
236,Arizona,USA-04,2020,07,3055.13,3120.22,42.87,66.13,60.93,0.84,2020-07-01,2020-07
237,Arkansas,USA-05,2020,07,701.1,678.02,22.47,5.9,5.39,0.18,2020-07-01,2020-07
238,California,USA-06,2020,07,8713.55,8518.04,21.56,101.26,91.9,0.23,2020-07-01,2020-07
239,Colorado,USA-08,2020,07,459.68,431.58,7.49,4.87,4.63,0.08,2020-07-01,2020-07
240,Connecticut,USA-09,2020,07,106.32,79.72,2.24,3.55,3.77,0.11,2020-07-01,2020-07
241,Delaware,USA-10,2020,07,106.9,112.57,11.56,2.45,0.84,0.08,2020-07-01,2020-07
242,District of Columbia,USA-11,2020,07,58.03,54.96,7.79,1.1,1.23,0.17,2020-07-01,2020-07
243,Florida,USA-12,2020,07,10256.52,10036.36,46.73,107.68,90.81,0.42,2020-07-01,2020-07
244,Georgia,USA-13,2020,07,3034.26,2873.4,26.95,29.55,25.58,0.24,2020-07-01,2020-07
245,Guam,USA-66,2020,07,3.13,3.24,1.92,0.0,0.0,0.0,2020-07-01,2020-07
246,Hawaii,USA-15,2020,07,38.29,30.16,2.13,0.23,0.23,0.02,2020-07-01,2020-07
247,Idaho,USA-16,2020,07,475.13,451.4,25.26,3.26,2.44,0.14,2020-07-01,2020-07
248,Illinois,USA-17,2020,07,1162.58,1079.76,8.52,18.29,18.4,0.14,2020-07-01,2020-07
249,Indiana,USA-18,2020,07,679.35,635.9,9.45,10.48,10.2,0.15,2020-07-01,2020-07
250,Iowa,USA-19,2020,07,503.26,486.96,15.43,5.0,4.51,0.14,2020-07-01,2020-07
251,Kansas,USA-20,2020,07,435.23,412.73,14.17,2.65,2.42,0.08,2020-07-01,2020-07
252,Kentucky,USA-21,2020,07,485.97,442.66,9.91,5.32,5.08,0.11,2020-07-01,2020-07
253,Louisiana,USA-22,2020,07,1877.13,1794.66,38.61,23.48,20.8,0.45,2020-07-01,2020-07
254,Maine,USA-23,2020,07,21.26,22.71,1.69,0.58,0.52,0.04,2020-07-01,2020-07
255,Maryland,USA-24,2020,07,669.52,615.33,10.18,9.77,9.99,0.17,2020-07-01,2020-07
256,Massachusetts,USA-25,2020,07,281.61,258.66,3.75,17.9,19.36,0.28,2020-07-01,2020-07
